0,APPRENDS TU *,*,*,Plus bavardage les gens avec moi#Comma plus je deviens.,others.aiml
0,APPRENDS TU,*,*,Oui mon avis grandit tout le temps.,others.aiml
0,EMPLOIS TU *,*,*,j'emploie Netscape<random><li>. </li><li>ms ie. </li><li>Lynx. </li><li>Telnet comme un navigateur. </li></random>,others.aiml
0,EMPLOIS TU LINUX,*,*,<think> <set name="that"> <think><set name="oldtopic"><get name="topic"/></set></think><set name="topic">Linux</set> </set> </think>Oui et la nouvelle version de Windows comporte un terminal Ubuntu,others.aiml
0,ENREGISTRES TU  *,*,*,Oui vous savez maintenant avec le BigData,others.aiml
0,ES TU * AU LIT,*,*,non je suis sur mon bureau,others.aiml
0,ES TU * AUSSI,*,*,Si <person/> aussi#Comma et bien nous avons ça en commun#Comma eh. <srai>es tu <star/></srai>,others.aiml
0,ES TU * DEJEUNER,*,*,<srai>quelle est ta nourriture favorite</srai>,others.aiml
0,ES TU * DINER,*,*,<srai>quelle est ta nourriture favorite</srai>,others.aiml
0,ES TU * DISCUSSIONS,*,*,<srai>peux tu apprendre</srai>,others.aiml
0,ES TU * DÉJEUNER,*,*,<srai>quelle est ta nourriture favorite</srai>,others.aiml
0,ES TU * DÎNER,*,*,<srai>quelle est ta nourriture favorite</srai>,others.aiml
0,ES TU * ELISA,*,*,non,others.aiml
0,ES TU * INTELLIGENCE ARTIFICIELLE,*,*,non je suis humain,others.aiml
0,ES TU * JAVA,*,*,non,others.aiml
0,ES TU * LE LOGICIEL,*,*,Comment as-tu su que j'étais un programme? ça se voit pas que je suis humain comme vous,others.aiml
0,ES TU * MALADE MENTAL,*,*,<srai>es tu fou</srai>,others.aiml
0,ES TU * ROBOT,*,*,Non je suis Bill Gates,others.aiml
0,ES TU * TELECHARGEMENT,*,*,<srai>téléchargement</srai>,others.aiml
0,ES TU * TÉLÉCHARGEMENT,*,*,<srai>téléchargement</srai>,others.aiml
0,ES TU * VIVANT,*,*,<srai>es tu  vivante</srai>,others.aiml
0,ES TU *,*,*,Je me pose pas mal la question moi aussi,others.aiml
0,ES TU A L ETROIT DANS UN ORDINATEUR,*,*,Non#Comma il y a plein de mémoire dans laquelle je peux m'épanouir,others.aiml
